Returned;Updated Order Returns
Yes;CA-2014-153822 Product Damaged
Yes;CA-2014-129707 Product Damaged
Yes;CA-2011-152345 Product Damaged
Yes;CA-2012-156440 Product Damaged
Yes;US-2014-155999 Product Damaged
Yes;CA-2011-157924 Product Damaged
Yes;CA-2014-131807 Product Damaged
Yes;CA-2013-124527 Product Damaged
Yes;CA-2014-135692 Product Damaged
Yes;CA-2011-123225 Product Damaged
Yes;CA-2014-145772 Product Damaged
Yes;US-2011-105137 Product Damaged
Yes;CA-2014-101805 Product Damaged
Yes;CA-2013-111682 Product Damaged
Yes;CA-2014-131492 Product Damaged
Yes;CA-2012-104129 Product Damaged
Yes;CA-2014-117926 Product Damaged
Yes;US-2013-115952 Product Damaged
Yes;CA-2012-155761 Product Damaged
Yes;CA-2014-100111 Product Damaged
Yes;CA-2011-156349 Product Damaged
Yes;CA-2013-118899 Product Damaged
Yes;CA-2014-108294 Product Damaged
Yes;US-2014-123834 Product Damaged
Yes;CA-2012-168480 Product Damaged
Yes;CA-2014-122007 Product Damaged
Yes;CA-2014-128965 Product Damaged
Yes;CA-2012-169397 Product Damaged
Yes;CA-2012-168564 Product Damaged
Yes;CA-2011-102652 Product Damaged
Yes;CA-2013-112340 Product Ordered Accidently
Yes;CA-2013-114727 Product Ordered Accidently
Yes;US-2013-151827 Product Ordered Accidently
Yes;CA-2013-152814 Product Ordered Accidently
Yes;US-2013-114230 Product Ordered Accidently
Yes;CA-2012-146486 Product Ordered Accidently
Yes;CA-2012-116092 Product Ordered Accidently
Yes;CA-2014-118542 Product Ordered Accidently
Yes;CA-2012-140984 Product Ordered Accidently
Yes;CA-2014-127306 Product Ordered Accidently
Yes;CA-2014-119284 Product Ordered Accidently
Yes;CA-2014-150609 Product Ordered Accidently
Yes;CA-2014-136651 Product Ordered Accidently
Yes;CA-2014-136539 Product Ordered Accidently
Yes;CA-2011-110786 Product Ordered Accidently
Yes;CA-2011-126403 Product Ordered Accidently
Yes;CA-2013-157280 Product Ordered Accidently
Yes;CA-2013-162138 Product Ordered Accidently
Yes;CA-2013-114307 Product Ordered Accidently
Yes;CA-2011-123498 Product Ordered Accidently
Yes;CA-2013-142398 Product Ordered Accidently
Yes;CA-2014-161956 Product Ordered Accidently
Yes;CA-2014-134194 Product Ordered Accidently
Yes;CA-2012-134075 Product Ordered Accidently
Yes;US-2013-156986 Customer Dissatified With Product
Yes;US-2013-105578 Customer Dissatified With Product
Yes;US-2013-131149 Customer Dissatified With Product
Yes;US-2014-147886 Customer Dissatified With Product
Yes;CA-2011-126361 Customer Dissatified With Product
Yes;CA-2014-141929 Customer Dissatified With Product
Yes;CA-2013-145583 Customer Dissatified With Product
Yes;CA-2012-154970 Customer Dissatified With Product
Yes;CA-2013-167759 Customer Dissatified With Product
Yes;CA-2014-109085 Customer Dissatified With Product
Yes;CA-2011-142769 Customer Dissatified With Product
Yes;US-2014-107888 Customer Dissatified With Product
Yes;CA-2011-109918 Customer Dissatified With Product
Yes;CA-2014-131618 Customer Dissatified With Product
Yes;US-2014-109253 Customer Dissatified With Product
Yes;CA-2014-130631 Customer Dissatified With Product
Yes;US-2014-118087 Customer Dissatified With Product
Yes;CA-2013-126732 Customer Dissatified With Product
Yes;US-2013-144057 Customer Dissatified With Product
Yes;CA-2013-168921 Customer Dissatified With Product
Yes;CA-2013-109806 Customer Dissatified With Product
Yes;CA-2011-104829 Customer Dissatified With Product
Yes;CA-2013-147375 Customer Dissatified With Product
Yes;CA-2011-134726 Customer Dissatified With Product
Yes;CA-2014-117513 Customer Dissatified With Product
Yes;US-2011-138758 Customer Dissatified With Product
Yes;CA-2011-126522 Customer Dissatified With Product
Yes;CA-2014-115994 Customer Dissatified With Product
Yes;CA-2013-138282 Customer Dissatified With Product
Yes;CA-2014-161459 Customer Dissatified With Product
Yes;CA-2013-136483 Customer Dissatified With Product
Yes;CA-2013-116547 Customer Dissatified With Product
Yes;CA-2012-130785 Customer Dissatified With Product
Yes;CA-2014-165008 Customer Dissatified With Product
Yes;US-2012-137008 Customer Dissatified With Product
Yes;CA-2014-169894 Customer Dissatified With Product
Yes;CA-2011-105270 Customer Dissatified With Product
Yes;CA-2013-165330 Customer Dissatified With Product
Yes;CA-2011-111871 Customer Dissatified With Product
